measurement_run_id,regulation_id,regulation_code,regulation_name,legacy_status,legacy_reason_code,document_sha256,source_url,http_status,content_type,content_length,download_status,magic_verified,detected_format,extraction_status,parser_name,parser_version,alternate_url_count,same_sha_alternate_url_count,same_post_pdf_available,notice_evidence_status,official_source_evidence_status
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,aef0142d10c04175,공익신고 처리 및 신고자 보호 등에 관한 운영기준,EXTRACTION_PENDING,EXTRACTION_PENDING,df19afd4b6eda4328a6939b5add43ac3abe099d77f0d1d4aed3d3bb375cc9cf6,https://www.alio.go.kr/download/rulefiledown.json?fileNo=159819,200,application/haansofthwp;charset=utf-8,115200,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,1550b8260919dbfb,구상권관리규정,EXTRACTION_PENDING,EXTRACTION_PENDING,c9827536270abfd6bf97e18eb173486b3de2faa5e002005096078e11a9cb203e,https://www.alio.go.kr/download/rulefiledown.json?fileNo=204462,200,application/haansofthwp;charset=utf-8,84992,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,a89609f41abedc8e,구상채권 상각기준,EXTRACTION_PENDING,EXTRACTION_PENDING,a6221234de384a664fd74e7297442f80742da1a743383adf9a51b874b4f60cce,https://www.alio.go.kr/download/rulefiledown.json?fileNo=178085,200,application/haansofthwp;charset=utf-8,67584,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,a340c3643b064c1a,규정관리요령,EXTRACTION_PENDING,EXTRACTION_PENDING,9cd59a7f753179a8fa2d4271ab3ffccb3f207208704a63c986ce915dc76ce5e8,https://www.alio.go.kr/download/rulefiledown.json?fileNo=230315,200,application/haansofthwp;charset=utf-8,99328,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,180e9ddf8109b40f,글로벌 지식공유사업 업무처리기준,EXTRACTION_PENDING,EXTRACTION_PENDING,3ac7de66bf02ce1ad7e8cec7d89339f0b1b66dee917c8c23adf990aedec6ae7d,https://www.alio.go.kr/download/rulefiledown.json?fileNo=230717,200,application/haansofthwp;charset=utf-8,86016,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,UNKNOWN,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,a83c34141a852926,금융회사 특별출연 및 보증료 지원 등에 관한 협약보증 운용기준,EXTRACTION_PENDING,EXTRACTION_PENDING,a8c96f6f467ca0c3a8614b8f198ded541bd3cab8faf555bbc9e511d4cf8c9faa,https://www.alio.go.kr/download/rulefiledown.json?fileNo=239079,200,application/haansofthwp;charset=utf-8,711680,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,8e4d788471e512a2,기록물 관리요령,EXTRACTION_PENDING,EXTRACTION_PENDING,75894864c8f093a5cbcca51eab13ee868a83cfa5ba210090e1374dfa7934a91a,https://www.alio.go.kr/download/rulefiledown.json?fileNo=184852,200,application/haansofthwp;charset=utf-8,59392,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,1d76c31cde7f51de,기술성장 지원 프로그램 운용기준,EXTRACTION_PENDING,EXTRACTION_PENDING,9d51cf6061235cf2f3b5e2655aef9fa8ab3b4073a574636340bd141ea8d26f1d,https://www.alio.go.kr/download/rulefiledown.json?fileNo=219956,200,application/haansofthwp;charset=utf-8,327680,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,66fe69fae3f76963,기술역량평가시스템 운용기준,EXTRACTION_PENDING,EXTRACTION_PENDING,20d005e22d5464a1770700b798a06b3a2ed15ec6660437022042f2e79dda91e2,https://www.alio.go.kr/download/rulefiledown.json?fileNo=230468,200,application/haansofthwp;charset=utf-8,4531712,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,4212b37a250511b1,기술역량평가 운용기준,EXTRACTION_PENDING,EXTRACTION_PENDING,2f46e6c9a47d7546467c8e30ece2359cede39180521d30003bea94596ca15223,https://www.alio.go.kr/download/rulefiledown.json?fileNo=230467,200,application/haansofthwp;charset=utf-8,144384,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
